library,object,function,option
libesp_hw_support.a,rtc_module.c.obj,rtc_isr,FALSE
libesp_hw_support.a,sleep_modes.c.obj,esp_sleep_enable_timer_wakeup,CONFIG_PM_SLP_IRAM_OPT
libesp_hw_support.a,periph_ctrl.c.obj,wifi_bt_common_module_enable,CONFIG_PM_ENABLE
libesp_hw_support.a,periph_ctrl.c.obj,wifi_bt_common_module_disable,CONFIG_PM_ENABLE
libesp_hw_support.a,periph_ctrl.c.obj,wifi_module_enable,CONFIG_PERIPH_CTRL_FUNC_IN_IRAM
libesp_hw_support.a,periph_ctrl.c.obj,wifi_module_disable,CONFIG_PERIPH_CTRL_FUNC_IN_IRAM
libesp_hw_support.a,esp_clk.c.obj,periph_module_reset,CONFIG_PERIPH_CTRL_FUNC_IN_IRAM
libesp_hw_support.a,esp_memory_utils.c.obj,esp_ptr_byte_accessible
libesp_hw_support.a,cpu.c.obj,esp_cpu_wait_for_intr
libesp_system.a,cpu_start.c.obj,call_start_cpu0,FALSE
libesp_system.a,panic_handler.c.obj,xt_unhandled_exception
libesp_system.a,panic_handler.c.obj,panicHandler
libesp_system.a,crosscore_int.c.obj,esp_crosscore_isr,FALSE
libesp_system.a,crosscore_int.c.obj,esp_crosscore_int_send
libesp_system.a,crosscore_int.c.obj,esp_crosscore_int_send_yield
libesp_system.a,panic_handler.c.obj,panic_enable_cache
libesp_system.a,freertos_hooks.c.obj,esp_vApplicationIdleHook,CONFIG_PM_RTOS_IDLE_OPT
libesp_system.a,freertos_hooks.c.obj,esp_vApplicationTickHook
libesp_system.a,task_wdt.c.obj,idle_hook_cb,CONFIG_PM_SLP_IRAM_OPT
libesp_system.a,task_wdt.c.obj,esp_task_wdt_reset,CONFIG_PM_SLP_IRAM_OPT
libesp_system.a,task_wdt.c.obj,esp_task_wdt_reset_user,CONFIG_PM_SLP_IRAM_OPT
libesp_system.a,task_wdt.c.obj,task_wdt_timer_feed,CONFIG_PM_SLP_IRAM_OPT
libesp_system.a,task_wdt.c.obj,find_entry_and_check_all_reset,CONFIG_PM_SLP_IRAM_OPT
libesp_system.a,task_wdt.c.obj,find_entry_from_task_handle_and_check_all_reset,CONFIG_PM_SLP_IRAM_OPT
libesp_system.a,task_wdt_impl_timergroup.c.obj,esp_task_wdt_impl_timer_feed,CONFIG_PM_SLP_IRAM_OPT
libesp_timer.a,esp_timer_impl_systimer.c.obj,timer_alarm_isr,FALSE
libesp_timer.a,esp_timer_impl_systimer.c.obj,esp_timer_get_time
libesp_timer.a,esp_timer.c.obj,esp_timer_get_next_alarm_for_wake_up,CONFIG_PM_ENABLE
libesp_timer.a,esp_timer.c.obj,timer_list_unlock
libesp_timer.a,esp_timer.c.obj,timer_list_lock
libfreertos.a,port_systick.c.obj,SysTickIsrHandler
libfreertos.a,port_systick.c.obj,xPortSysTickHandler
libfreertos.a,portasm.S.obj,rtos_int_enter
libfreertos.a,port.c.obj,vPortEnterCritical
libfreertos.a,port.c.obj,vPortExitCritical
libfreertos.a,port.c.obj,vPortYieldFromISR
libfreertos.a,port.c.obj,vPortSetInterruptMask
libfreertos.a,port.c.obj,xPortInIsrContext
libfreertos.a,port.c.obj,vPortYield
libfreertos.a,port.c.obj,vPortClearInterruptMask
libfreertos.a,tasks.c.obj,xTaskGetCurrentTaskHandle
libfreertos.a,tasks.c.obj,xTaskGetSchedulerState
libfreertos.a,tasks.c.obj,xTaskIncrementTick
libfreertos.a,tasks.c.obj,prvResetNextTaskUnblockTime
libfreertos.a,tasks.c.obj,vTaskStepTick,CONFIG_FREERTOS_USE_TICKLESS_IDLE
libfreertos.a,port_common.c.obj,xPortCheckValidTCBMem
libfreertos.a,queue.c.obj,xQueueSemaphoreTake
